 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.0525567681877172  0.1576703045631517  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.0474574116352233  0.1423722349056700  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.0432113818013868  0.1296341454041604  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.0396357499175770  0.1189072497527309  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.0365954802990368  0.1097864408971104  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.0339943464536331  0.1019830393608994  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.0317456012963910  0.0952368038891730  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.0298099351654578  0.0894298054963734  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.0281577012569587  0.0844731037708760  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0267648539751722  0.0802945619255165  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0256120255421260  0.0768360766263780  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0246910422128772  0.0740731266386316  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0240270735652612  0.0720812206957837  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0236503983852415  0.0709511951557244  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0235872314244955  0.0707616942734865  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0238614464398462  0.0715843393195385  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0244844983339341  0.0734534950018022  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0253886192977146  0.0761658578931439  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0264869037765375  0.0794607113296125  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0277129613938886  0.0831388841816659  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0290791861740831  0.0872375585222494  0.2275174565048175  0.3141592653589793
