 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.0564936873517456  0.1694810620552367  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.0510383327124276  0.1531149981372829  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.0464984587966256  0.1394953763898769  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.0426761215504872  0.1280283646514616  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.0394262000130913  0.1182786000392740  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.0366454561817778  0.1099363685453333  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.0342405808845500  0.1027217426536499  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.0321680707945928  0.0965042123837784  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.0303947351111405  0.0911842053334214  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0288937766041978  0.0866813298125933  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0276436959839072  0.0829310879517216  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0266346530260490  0.0799039590781470  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0258904524648949  0.0776713573946846  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0254403218930653  0.0763209656791959  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0253095998476117  0.0759287995428352  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0255213460147610  0.0765640380442829  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0260862645868681  0.0782587937606044  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0269358498126786  0.0808075494380359  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0279823912891058  0.0839471738673175  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0291582813095545  0.0874748439286634  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0304711232897096  0.0914133698691287  0.2275174565048175  0.3141592653589793
