 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.2134328998407028  0.6402986995221084  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.1937862303518900  0.5813586910556700  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.1775327151605549  0.5325981454816646  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.1638758490182123  0.4916275470546368  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.1522684769792562  0.4568054309377685  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.1423278579842856  0.4269835739528569  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.1336990953796873  0.4010972861390619  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.1261715118507510  0.3785145355522530  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.1195706406248324  0.3587119218744972  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.1137599948141066  0.3412799844423197  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.1086331056938041  0.3258993170814123  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.1041137014127310  0.3123411042381929  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.1001711793208199  0.3005135379624598  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0967928628088196  0.2903785884264588  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0939691614686658  0.2819074844059974  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0916906833174176  0.2750720499522528  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0899382066393557  0.2698146199180670  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0886138087547849  0.2658414262643548  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0875976952186369  0.2627930856559109  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0867737313375170  0.2603211940125510  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0859585503002875  0.2578756509008625  0.2275174565048175  0.3141592653589793
