 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.1980705962624934  0.5942117887874802  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.1798130715478538  0.5394392146435613  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.1647061691783056  0.4941185075349167  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.1520119752455154  0.4560359257365463  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.1412226886914336  0.4236680660743010  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.1319829281632655  0.3959487844897964  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.1239634030126853  0.3718902090380559  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.1169698000796879  0.3509094002390636  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.1108414816680838  0.3325244450042514  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.1054526980780093  0.3163580942340279  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.1007052979850012  0.3021158939550035  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0965295123283698  0.2895885369851094  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0929000642319057  0.2787001926957171  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0898083789616004  0.2694251368848011  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0872482851979019  0.2617448555937056  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0852135675533515  0.2556407026600544  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0836879336686182  0.2510638010058546  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0825763403979226  0.2477290211937677  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0817621339057680  0.2452864017173040  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0811339296583350  0.2434017889750051  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0805270543408554  0.2415811630225660  0.2275174565048175  0.3141592653589793
