 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.1081381046791730  0.3244143140375192  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.0980127751184262  0.2940383253552786  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.0896182611234281  0.2688547833702842  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.0825596484654327  0.2476789453962980  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.0765595177569142  0.2296785532707425  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.0714226541573164  0.2142679624719492  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.0669696671842171  0.2009090015526512  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.0631020411078443  0.1893061233235328  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.0597400950556757  0.1792202851670272  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0568209359210030  0.1704628077630090  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0542951032888485  0.1628853098665454  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0521308960972018  0.1563926882916054  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0503342150930651  0.1510026452791954  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0489204983383552  0.1467614950150656  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0479035902063020  0.1437107706189060  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0472958714233052  0.1418876142699154  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0470981983810269  0.1412945951430807  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0472323850188445  0.1416971550565336  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0476001629499313  0.1428004888497939  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0481179555589777  0.1443538666769331  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0487305231650664  0.1461915694951991  0.2275174565048175  0.3141592653589793
