 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.1578515633492470  0.4735546900477410  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.1432308668686871  0.4296926006060613  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.1311258358385136  0.3933775075155407  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.1209519504703566  0.3628558514110698  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.1123044395213788  0.3369133185641365  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.1048995502806024  0.3146986508418071  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.0984750294918612  0.2954250884755837  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.0928794059083646  0.2786382177250937  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.0879882468261154  0.2639647404783461  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0837039128682757  0.2511117386048273  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0799500279470816  0.2398500838412449  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0766738475284064  0.2300215425852192  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0738640377930160  0.2215921133790481  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0715227628557058  0.2145682885671175  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0696528026868593  0.2089584080605779  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0682562583339586  0.2047687750018758  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0673245065922628  0.2019735197767884  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0667700430336550  0.2003101291009650  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0664844360452431  0.1994533081357294  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0663687371724279  0.1991062115172838  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0663072133093043  0.1989216399279128  0.2275174565048175  0.3141592653589793
