         241          21
     -29.1606860682728701       40.9260675631599824       33.9991353060626267
     -29.1570402987311752       40.9341455828810368       33.9886921660954968
     -29.1533912620747344       40.9443488560570827       33.9756822785253050
     -29.1502426919500799       40.9570648133150144       33.9597326633606400
     -29.1484035278089557       40.9720542347102494       33.9412844151007818
     -29.1486504856890321       40.9891298998189981       33.9207097090120513
     -29.1517526831461389       41.0081033658972416       33.8983811391777579
     -29.1584862073833833       41.0287522355206136       33.8747145969273902
     -29.1696449214902209       41.0507952056210357       33.8502022453076776
     -29.1860512810475292       41.0738672958448134       33.8254455145989681
     -29.2085701650450176       41.0974892178430977       33.8011960312075530
     -29.2381296423723569       41.1210230128191156       33.7784148212348398
     -29.2757557759092322       41.1435996968123163       33.7583685314873421
     -29.3226370767501834       41.1639875473255117       33.7428038808522857
     -29.2288138898701355       41.4818687075987071       33.3324136283083376
     -29.2894941828281681       41.5103194257778227       33.3091649251408342
     -29.3580615730488397       41.5424510083154601       33.2828742496799492
     -29.4349035163515325       41.5784379917243712       33.2533863121062012
     -29.5203865372130210       41.6184433998901255       33.2205531103137375
     -29.6148555517487182       41.6626181245460430       33.1842343897535557
     -29.7186333004464878       41.7111003071506303       33.1442981527851828
     -29.8320198930576730       41.7640147185015707       33.1006212287273840
     -29.9552924679870571       41.8214721338469033       33.0530899143173116
     -30.0887049687502177       41.8835687031558948       33.0016006922455389
     -30.2324880398735161       41.9503853181983644       32.9460610331524961
     -30.3868490436122016       42.0219869799145513       32.8863902841399494
     -30.5519721970514837       42.0984221711740645       32.8225206445198978
     -30.7280188267452168       42.1797222414515076       32.7543982271693963
     -30.9151277351918630       42.2659008112054693       32.6819842014574391
     -31.1134156231479686       42.3569531927149754       32.6052560171671857
     -31.3229773778908331       42.4528558031896210       32.5242087077128801
     -31.5438864818007438       42.5535656733946439       32.4388561968439078
     -31.7761955683391868       42.6590200615754966       32.3492326042233671
     -32.0199369940533600       42.7691361482711798       32.2553935554369815
     -32.2751234007633911       42.8838108235509239       32.1574174755544107
     -32.5417482448301740       43.0029205790721676       32.0554068423604477
     -32.8197862700844567       43.1263215095134029       31.9494893681686882
     -33.1091940573356567       43.2538482550895509       31.8398182150565638
     -33.4099105399031231       43.3853125176645662       31.7265717104010427
     -33.7218569325152373       43.5205051159162650       31.6099554293522154
     -34.0449367032813086       43.6591967387102358       31.4902030005501636
     -34.3790354100241515       43.8011385769787225       31.3675764940720363
     -34.7240203471761504       43.9460631148107339       31.2423665676592783
     -35.0797399909276564       44.0936850804801423       31.1148923406510107
     -35.4460232352214675       44.2437025560066033       30.9855009660996963
     -35.8226784195295807       44.3957982424667179       30.8545668728288014
     -36.2094925185393066       44.5496409618710842       30.7224906123369834
     -36.6062313500617336       44.7048875185940986       30.5896972950131882
     -37.0126392728226321       44.8611844492285172       30.4566349087338075
     -37.4284383772508420       45.0181697200863553       30.3237724124102677
     -37.8533275982640802       45.1754744862155206       30.1915975138434050
     -38.2869817776724446       45.3327249001903994       30.0606141303372283
     -38.7290506976082085       45.4895439564985224       29.9313395363167025
     -39.1791581095874832       45.6455533579454524       29.8043012066621600
     -39.6369007868366836       45.8003753914308547       29.6800333692124454
     -40.1018476302921698       45.9536348016651388       29.5590732848597355
     -40.5735388611194097       46.1049606528356648       29.4419572788122714
     -41.0514853346028374       46.2539881698188964       29.3292165518811601
     -41.5351680117293824       46.4003605521796914       29.2213728059880609
     -42.0240376256256951       46.5437307558034306       29.1189337234170900
     -42.5175145801041552       46.6837632384648487       29.0223883445592854
     -43.0149882752472337       46.8201355005308102       28.9322024427464619
     -43.5158080671788952       46.9525381172736687       28.8488140103782911
     -44.0192735172647502       47.0806756938959836       28.7726272892630384
     -44.5246310790407520       47.2042727792152874       28.7040072026901143
     -45.0310747388143682       47.3230770524320548       28.6432719940172014
     -45.5377498586227603       47.4368594900688052       28.5906843559591088
     -46.0437558380022196       47.5454172044476735       28.5464447109755390
     -46.5481495139992774       47.6485762823612475       28.5106851857743351
     -47.0499492439148312       47.7461944316069733       28.4834643505185454
     -47.5481394194502229       47.8381633669240998       28.4647628484941642
     -48.0416750295586752       47.9244108614770781       28.4544800019064894
     -48.5294856958022862       48.0049023838687390       28.4524314189908587
     -49.0104880066709470       48.0795680165107271       28.4584755908974678
     -49.4836309254913047       48.1478428468957418       28.4733044408706668
     -49.9478132851607199       48.2090246989370073       28.4978178183953297
     -50.4018843080541643       48.2625452060813416       28.5326615759941831
     -50.8447361228992278       48.3079818110475472       28.5782288281866812
     -51.2753621342063752       48.3450579400116212       28.6346737100511675
     -51.6929056624428895       48.3736387594608743       28.7019318569516990
     -52.0967026742777506       48.3937238954687743       28.7797461566796713
     -52.4863094309718505       48.4054368134364523       28.8676954189937405
     -52.8615052351814754       48.4090108849410470       28.9652227693049689
     -53.2222653253991282       48.4047729591808178       29.0716605730307727
     -53.5687090299549666       48.3931262037146368       29.1862499607080643
     -53.9010376039214023       48.3745343638118968       29.3081550741182788
     -54.2194737447837483       48.3495084922338876       29.4364734273598003
     -54.5241997785801544       48.3185954485068336       29.5702426267040757
     -54.8153458729893543       48.2823733177258987       29.7084489768550917
     -55.0930098270270605       48.2414491051239764       29.8500404550892640
     -55.3572734301054439       48.1964542853088176       29.9939415907860116
     -55.6082130747460965       48.1480384775894379       30.1390691053977022
     -55.8459090990036344       48.0968621052519438       30.2843478109773017
     -56.0704533392990214       48.0435883383275595       30.4287261424834377
     -56.2819550553236851       47.9888746380764033       30.5711908676673438
     -56.4805455185314713       47.9333642015373158       30.7107806301478803
     -56.6663814863726358       47.8776775718187082       30.8465980654272904
     -56.8396477417694399       47.8224046511752832       30.9778203040341822
     -57.0005588489404147       47.7680973254376653       31.1037077422668737
