         241          21
     -42.9749543151051583      -31.4315838674836421      -45.1735165093733997
     -42.5042380907263890      -31.3364904589215953      -45.1607864629673088
     -42.0349175851785333      -31.2399602730172177      -45.1493064881208994
     -41.5676068429504966      -31.1422059329748393      -45.1390298693058654
     -41.1029174251955070      -31.0434455562067484      -45.1299058866786069
     -40.6414565414749447      -30.9439015836142133      -45.1218803498388255
     -40.1838251603391043      -30.8437995816717176      -45.1148961374551973
     -39.7306161131366906      -30.7433670260408540      -45.1088937385986881
     -39.2824122050914255      -30.6428320757297357      -45.1038117916405881
     -38.8397843471103741      -30.5424223470089373      -45.0995876166215410
     -38.4032897210307311      -30.4423636963969280      -45.0961577370790678
     -37.9734699901081640      -30.3428790220372271      -45.0934583874314683
     -37.5508495655349677      -30.2441870927060741      -45.0914260021564672
     -37.1359339386845519      -30.1465014135142653      -45.0899976831694431
     -36.7292080876393001      -30.0500291370993153      -45.0891116420012636
     -36.3311349688722913      -29.9549700296431389      -45.0887076135517617
     -35.9421542554416291      -29.8615155252376319      -45.0887272462360258
     -35.5626813487498410      -29.7698477855780972      -45.0891145287755748
     -35.1931060982763313      -29.6801386544421426      -45.0898162369536308
     -34.8337915083734018      -29.5925487175769497      -45.0907823066531819
     -34.4850725642688900      -29.5072265250786536      -45.0919661189649830
     -34.1472551806853275      -29.4243079762921695      -45.0933247003675604
     -33.8206152740246182      -29.3439158637459130      -45.0948188426072107
     -33.5053979577619998      -29.2661595697413190      -45.0964131482255155
     -33.2018168595847243      -29.1911349066811781      -45.0980760087425310
     -32.9100535579006248      -29.1189240900857982      -45.0997795233003771
     -32.6302571422294392      -29.0495957933540296      -45.1014993068142189
     -32.3625440711400572      -28.9832043818835317      -45.1032128128082093
     -32.1069979030694697      -28.9197904276851041      -45.1048994573719355
     -31.8636689232872037      -28.8593823383294890      -45.1065423474675953
     -31.6325741214261029      -28.8019967861024888      -45.1081280436736236
     -31.4136972791360414      -28.7476391148418173      -45.1096462051642746
     -31.2069891486602202      -28.6963037793584377      -45.1110892316340539
     -31.0123676764984424      -28.6479747988398081      -45.1124519083526820
     -30.8297182794781577      -28.6026262380249783      -45.1137310477145448
     -30.6588942718192783      -28.5602227210592297      -45.1149251398358473
     -30.4997173816323652      -28.5207199297039367      -45.1160340340051960
     -30.3519783376561101      -28.4840650741496972      -45.1170586556468152
     -30.2154375240888093      -28.4501973336342893      -45.1180007601878899
     -30.0898257017995654      -28.4190482656417736      -45.1188627241730273
     -29.9748447944796617      -28.3905421839592940      -45.1196473729677905
     -29.8701687383528451      -28.3645965072962518      -45.1203578434270369
     -29.7754443938277511      -28.3411220815118661      -45.1209974789668564
     -29.6902925169586034      -28.3200234797188344      -45.1215697535915012
     -29.6143087879526945      -28.3011992855619781      -45.1220782206555526
     -29.5470648935358398      -28.2845423656934862      -45.1225264816035576
     -29.4881059203656619      -28.2699503944370818      -45.1229111883585006
     -29.4353512304605225      -28.2617157027939854      -45.1202352763071488
     -29.3876069069614339      -28.2616379601852117      -45.1131958361737659
     -29.3450634060435824      -28.2676607344127433      -45.1031071298966353
     -29.3077138612462456      -28.2782146283333695      -45.0909470819448543
     -29.2754211910339031      -28.2920382480943005      -45.0774814801182444
     -29.2479556496250801      -28.3080798572765886      -45.0633321403442650
     -29.2250184274887523      -28.3254371586528073      -45.0490185512675367
     -29.2062583972070371      -28.3433158563000589      -45.0349864297128661
     -29.1912859193811833      -28.3609963211670966      -45.0216306010769358
     -29.1796867056478071      -28.3778001773618804      -45.0093178744558600
     -29.1710395038712065      -28.3930465163881962      -44.9984170120985993
     -29.1649438929214284      -28.4059805404860768      -44.9893476197479885
     -29.1606860682728701      -28.4166926386523748      -44.9819495711852184
     -28.8285127683589586      -32.8381470160886195      -49.4634219223542715
     -28.8259272807471483      -32.8493321651447303      -49.4558084642415423
     -28.8236101745255517      -32.8633059298373738      -49.4463573381685038
     -28.8221108898406264      -32.8804954974163124      -49.4348205275215165
     -28.8222016720476972      -32.9004568327578681      -49.4215443988149516
     -28.8246294296009822      -32.9228192935895976      -49.4068249475118719
     -28.8301333237703190      -32.9472116893058313      -49.3909584667426529
     -28.8394549787728032      -32.9732167795060818      -49.3742729159854292
     -28.8533459330654161      -33.0003365195309186      -49.3571520762647182
     -28.8725751006620754      -33.0279574617653466      -49.3400597359331599
     -28.8979384468010210      -33.0553078901660982      -49.3235696804441375
     -28.9302737543377404      -33.0813956983701729      -49.3084090316130244
     -28.9704856892003342      -33.1049071014879672      -49.2955286137498163
     -29.0195926135015725      -33.1240223939958796      -49.2862304254591024
     -29.0775640737466645      -33.1408487345761600      -49.2791023746916892
     -29.1436839965812986      -33.1600243969235962      -49.2709747279534014
     -29.2183914788471739      -33.1816865975437167      -49.2617834832497863
     -29.3021056892818841      -33.2059550721834142      -49.2514742436418658
     -29.3952220833241853      -33.2329421418280049      -49.2399951304110743
     -29.4981114405192670      -33.2627522861789231      -49.2272969367932518
     -29.6111189828528545      -33.2954817049900313      -49.2133333042003969
     -29.7345635768610776      -33.3312178616982848      -49.1980609246460361
     -29.8687370221988147      -33.3700390045079729      -49.1814397721149703
     -30.0139034290442588      -33.4120136624203568      -49.1634333662775731
     -30.1702986864295148      -33.4572001152823901      -49.1440090711545423
     -30.3381300204200492      -33.5056458582094976      -49.1231384593339300
     -30.5175756433148457      -33.5573870604173550      -49.1007977389430224
     -30.7087845039973253      -33.6124479468587225      -49.0769681327128566
     -30.9118761278544589      -33.6708401857486237      -49.0516363224646170
     -31.1269405334964659      -33.7325622716369651      -49.0247949334209352
     -31.3540381721120163      -33.7975989342662118      -48.9964430707218526
     -31.5931999589339974      -33.8659205957433187      -48.9665868634955004
     -31.8444274117473078      -33.9374828207336563      -48.9352399381594694
     -32.1076928511241846      -34.0122258356164693      -48.9024239260344586
     -32.3829396502422995      -34.0900741810453738      -48.8681690684860257
     -32.6700825381595195      -34.1709364010366698      -48.8325147481826320
     -32.9690079553042210      -34.2547047170398713      -48.7955098422994666
     -33.2795743978512490      -34.3412553204113067      -48.7572137680889313
     -33.6016127579357402      -34.4304491410468074      -48.7176979702048172
     -33.9349268159851576      -34.5221312110175447      -48.6770451524835721
     -34.2792937222065959      -34.6161306914217448      -48.6353491826511686
     -34.6344644745639698      -34.7122611793128542      -48.5927150889450701
     -35.0001643272293350      -34.8103213531093445      -48.5492592010015045
     -35.3760932551319769      -34.9100958546754754      -48.5051092657071976
     -35.7619263874612230      -35.0113561318209534      -48.4604041356105242
     -36.1573144384157956      -35.1138614482103222      -48.4152933101948122
     -36.5618842581974306      -35.2173602394284231      -48.3699365583440937
     -36.9752396504890584      -35.3215913140551265      -48.3245030375991931
     -37.3969621737922111      -35.4262854275725658      -48.2791708717759960
     -37.8266117911203210      -35.5311665200558053      -48.2341260783158745
     -38.2637276047698833      -35.6359533478380115      -48.1895617917734214
     -38.7078285738928543      -35.7403609664445980      -48.1456770561731560
