 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.1802751428299536  0.5408254284898609  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.1636267818070744  0.4908803454212232  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.1498480978893608  0.4495442936680824  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.1382690484652490  0.4148071453957471  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.1284274194077011  0.3852822582231032  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.1199995224223464  0.3599985672670393  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.1126857284589639  0.3380571853768917  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.1063106803397372  0.3189320410192116  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.1007297597554666  0.3021892792663999  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0958296547977555  0.2874889643932665  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0915218488892389  0.2745655466677168  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0877441057005666  0.2632323171017000  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0844773176490985  0.2534319529472955  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0817176615492836  0.2451529846478508  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0794629267005025  0.2383887801015076  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0777105774340765  0.2331317323022295  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0764477147115350  0.2293431441346049  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0755826309943815  0.2267478929831445  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0750023104803808  0.2250069314411424  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0746008711466545  0.2238026134399634  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0742352939337636  0.2227058818012907  0.2275174565048175  0.3141592653589793
